Philipp Furtwängler,Wolfgang Gröbner,
Philipp Furtwängler,Nikolaus Hofreiter,
Philipp Furtwängler,Henry Mann,
Philipp Furtwängler,Otto Schreier,
Philipp Furtwängler,Olga Taussky-Todd,
Mellen Haskell,Benjamin A. Bernstein,
Mellen Haskell,Annie Biddle,
Mellen Haskell,Charles H. Smiley,
Adolf Hurwitz,Ernst Amberg,Germany
Adolf Hurwitz,L. Gustave du Pasquier,Germany
Edward Kasner,Rufus Isaacs,
Edward Kasner,Joseph Ritt,
Edward Kasner,Jesse Douglas,
Edward Kasner,Edna Kramer,
Edward Kasner,Joseph Fels Ritt,
Alexander Ostrowski,Theodore Motzkin,
Alexander Ostrowski,Walter Gautschi,
Alexander Ostrowski,Stefan E. Warschawski,
Julio Rey Pastor,Alberto Gonzalez Dominguez,Spanish
Julio Rey Pastor,Sixto Ríos,Spanish
Gustav A. Bauer,Martin Kutta,
Constantin Carathéodory,Paul Finsler,Greek
Constantin Carathéodory,Hans Rademacher,Greek
Constantin Carathéodory,Georg Aumann,Greek
Constantin Carathéodory,Hermann Boerner,Greek
Constantin Carathéodory,Ernst Peschl,Greek
Constantin Carathéodory,Wladimir Seidel,Greek
Constantin Carathéodory,Nazım Terzioğlu,Greek
Dénes Kőnig,Tibor Gallai,Kingdom of Hungary
Werner Heisenberg,Felix Bloch,
Werner Heisenberg,Edward Teller,
Werner Heisenberg,Rudolf E. Peierls,
Werner Heisenberg,Reinhard Oehme,
Werner Heisenberg,Friedwardt Winterberg,
Werner Heisenberg,Șerban Țițeica,
Werner Heisenberg,Ivan Supek,
Werner Heisenberg,Erich Bagge,
Werner Heisenberg,Hermann Arthur Jahn,
Werner Heisenberg,Hans Heinrich Euler,
Werner Heisenberg,Rudolf Peierls,
Werner Heisenberg,Rudolph E. Peierls,
Wolfgang Pauli,Nicholas Kemmer,
Wolfgang Pauli,José Leite Lopes,
Wolfgang Pauli,Felix Villars,
Wolfgang Pauli,Charles Enz,
Wolfgang Pauli,Sigurd Zienau,
Peter Debye,Lars Onsager,
Peter Debye,Paul Scherrer,
Peter Debye,George K. Fraenkel,
Peter Debye,Fritz Zwicky,
Hans Bethe,Michel Baranger,
Hans Bethe,David B. Beard,
Hans Bethe,Peter A. Carruthers,
Hans Bethe,Ajoy Ghatak,
Hans Bethe,Jeffrey Goldstone,
Hans Bethe,Roman Jackiw,
Hans Bethe,Robert Eugene Marshak,
Hans Bethe,Walter McAfee,
Hans Bethe,Michael Nauenberg,
Hans Bethe,John W. Negele,
Hans Bethe,Mark Nelkin,
Hans Bethe,Ramamurti Rajaraman,
Hans Bethe,J. J. Sakurai,
Hans Bethe,Gordon Shaw,
Hans Bethe,David J. Thouless,
Hans Bethe,David Thouless,
Ernst Guillemin,Robert Fano,United States
Ernst Guillemin,Thomas Stockham,United States
Ernst Guillemin,William Linvill,United States
Ernst Guillemin,John Linvill,United States
Ernst Guillemin,Samuel J. Mason,United States
Herbert Fröhlich,Sebastian Doniach,
Herbert Fröhlich,Sigurd Zienau,
Karl Herzfeld,John Archibald Wheeler,American
Karl Herzfeld,Walter Heitler,American
Rudolf Peierls,Fred Hoyle,
Rudolf Peierls,E. E. Salpeter,
Rudolf Peierls,Gerald E. Brown,
Rudolf Peierls,Walter Marshall,
Rudolf Peierls,James S. Langer,
Rudolf Peierls,John Stewart Bell,
Rudolf Peierls,Stanley Mandelstam,
Rudolf Peierls,Gerald Edward Brown,
Walter Rogowski,Rolf Widerøe,
Gregor Wentzel,Valentine Bargmann,German
Gregor Wentzel,Markus Fierz,German
Gregor Wentzel,Res Jost,German
Gregor Wentzel,Nicholas Kemmer,German
Gregor Wentzel,Felix Villars,German
Ernst C. Stückelberg,Marcel Guénin,
Ernst C. Stückelberg,Constantin Piron,
Ernst C. Stückelberg,André Petermann,
Eugene Feenberg,Woo Chia-wei,
Eugene Feenberg,John Walter Clark,
Eugene Feenberg,Walter E. Massey,
